"taxon_id","taxon_rank","scientific_name","species","genus","family","order","class","phylum","kingdom","superkingdom","genome_size"
"653684","species","Melanostoma mellinum","Melanostoma mellinum","Melanostoma","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",754000000
"414846","species","Platycheirus albimanus","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",689000000
"689058","species","Amphipyra tragopoginis","Amphipyra tragopoginis","Amphipyra","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",708477500
"313498","species","Haliclystus octoradiatus","Haliclystus octoradiatus","Haliclystus","Haliclystidae","Stauromedusae","Staurozoa","Cnidaria","Metazoa","Eukaryota",275000000
"997290","species","Thumatha senex","Thumatha senex","Thumatha","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",804000000
"1606781","species","Stomorhina lunata","Stomorhina lunata","Stomorhina","Rhiniidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",741000000
"753202","species","Noctua fimbriata","Noctua fimbriata","Noctua","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",590000000
"1858066","species","Ptycholomoides aeriferana","Ptycholomoides aeriferana","Ptycholomoides","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",469000000
"104474","species","Erannis defoliaria","Erannis defoliaria","Erannis","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",758797647.0588236
"875885","species","Apamea monoglypha","Apamea monoglypha","Apamea","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",632348000
"513045","species","Dioctophyme renale","Dioctophyme renale","Dioctophyme","Dioctophymatidae","Dioctophymatida","Enoplea","Nematoda","Metazoa","Eukaryota",168705000
"934940","species","Gymnoscelis rufifasciata","Gymnoscelis rufifasciata","Gymnoscelis","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",461000000
"988174","species","Luperina testacea","Luperina testacea","Luperina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",602000000
"934902","species","Xanthorhoe fluctuata","Xanthorhoe fluctuata","Xanthorhoe","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",325000000
"13579","species","Juncus effusus","Juncus effusus","Juncus","Juncaceae","Poales","Magnoliopsida","Streptophyta","Viridiplantae","Eukaryota",1553450000
"128161","species","Teleogryllus oceanicus","Teleogryllus oceanicus","Teleogryllus","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa","Eukaryota",2113784000
"226161","species","Rhingia campestris","Rhingia campestris","Rhingia","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",721000000
"997551","species","Mesoligia furuncula","Mesoligia furuncula","Mesoligia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",903000000
"1594250","species","Chrysoteuchia culmella","Chrysoteuchia culmella","Chrysoteuchia","Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",676833333.3333334
"987893","species","Autographa pulchrina","Autographa pulchrina","Autographa","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",386000000
"1101072","species","Zeuzera pyrina","Zeuzera pyrina","Zeuzera","Cossidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",514852430.5555556
"1594321","species","Parapoynx stratiotata","Parapoynx stratiotata","Parapoynx","Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",658500000
"295700","species","Malachius bipustulatus","Malachius bipustulatus","Malachius","Melyridae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1261620000
"116121","species","Carcina quercana","Carcina quercana","Carcina","Peleopodidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",551360000
"1126389","species","Ectemnius continuus","Ectemnius continuus","Ectemnius","Crabronidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",371640000
"286459","species","Episyrphus balteatus","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",538060000
"1271730","species","Limnephilus marmoratus","Limnephilus marmoratus","Limnephilus","Limnephilidae","Trichoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1728000000
"1218281","species","Limnephilus lunatus","Limnephilus lunatus","Limnephilus","Limnephilidae","Trichoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1337000000
"1660703","species","Synanthedon vespiformis","Synanthedon vespiformis","Synanthedon","Sesiidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",287000000
"411963","species","Schrankia costaestrigalis","Schrankia costaestrigalis","Schrankia","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",799445600
"41101","species","Rhagonycha fulva","Rhagonycha fulva","Rhagonycha","Cantharidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",618250000
"7609","species","Marthasterias glacialis","Marthasterias glacialis","Marthasterias","Asteriidae","Forcipulatida","Asteroidea","Echinodermata","Metazoa","Eukaryota",652815000
"1124896","species","Trypoxylon clavicerum","Trypoxylon clavicerum","Trypoxylon","Crabronidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",256000000
"1073575","species","Agonopterix heracliana","Agonopterix heracliana","Agonopterix","Depressariidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",598000000
"1572519","species","Eristalis pertinax","Eristalis pertinax","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",488500000
"703264","species","Hippodamia variegata","Hippodamia variegata","Hippodamia","Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",359500000
"115357","species","Harmonia axyridis","Harmonia axyridis","Harmonia","Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",490545000
"934828","species","Chloroclysta siterata","Chloroclysta siterata","Chloroclysta","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",437000000
"27328","species","Metschnikowia zobellii","Metschnikowia zobellii","Metschnikowia","Metschnikowiaceae","Saccharomycetales","Saccharomycetes","Ascomycota","Fungi","Eukaryota",14000000
"758717","species","Acleris sparsana","Acleris sparsana","Acleris","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",590000000
"29057","species","Ostrinia nubilalis","Ostrinia nubilalis","Ostrinia","Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",497000000
"987985","species","Mythimna impura","Mythimna impura","Mythimna","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",709000000
"987431","species","Xestia c-nigrum","Xestia c-nigrum","Xestia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",762420000
"291688","species","Hesperia comma","Hesperia comma","Hesperia","Hesperiidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",552000000
"1124515","species","Eristalis arbustorum","Eristalis arbustorum","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",452000000
"30195","species","Bombus terrestris","Bombus terrestris","Bombus","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",518340000
"30194","species","Bombus pratorum","Bombus pratorum","Bombus","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",287000000
"938226","species","Craniophora ligustri","Craniophora ligustri","Craniophora","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",437000000
"1167272","species","Cerceris rybyensis","Cerceris rybyensis","Cerceris","Crabronidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",345208750
"483950","species","Acanthosoma haemorrhoidale","Acanthosoma haemorrhoidale","Acanthosoma","Acanthosomatidae","Hemiptera","Insecta","Arthropoda","Metazoa","Eukaryota",875000000
"37344","species","Athalia rosae","Athalia rosae","Athalia","Tenthredinidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",173000000
"934931","species","Colostygia pectinataria","Colostygia pectinataria","Colostygia","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",353000000
"327064","species","Brachiomonas submarina","Brachiomonas submarina","Brachiomonas","Chlamydomonadaceae","Chlamydomonadales","Chlorophyceae","Chlorophyta","Viridiplantae","Eukaryota",184000000
